Unnamed: 0,mon/day/yr,Longitude,DEPTH,Latitude,TMP,PHSPHT,NITRAT,TCARBN,SILCAT,PH
416576,06/24/1997,-31.96899,2445.0,48.181,3.1422,1.0976,16.83,2155.8,13.256,7.74
416577,01/14/1996,173.98,20.0,-60.986,3.6679,1.4748,22.74,2111.8,1.2375,7.8
416578,06/09/1994,169.83,246.0,-17.833,18.96,0.63,6.57,2089.4,1.9107,7.93
416579,02/13/2006,-145.00999,1971.0,50.005,1.958,3.01,41.86,2380.7,170.54,7.41
416580,09/09/2007,165.0,397.0,51.0,3.838,3.12,43.6,2331.6,98.475,7.26
416581,06/15/2010,-15.461,396.81,42.581,11.758,0.5247,9.0961,2134.9,3.2438,7.85
416582,05/29/2018,64.6675,546.0,9.9895,11.5867,2.6,31.6,2281.2,41.3,7.47
416583,09/03/2015,137.0,1471.0,8.9918,3.1319,2.75,38.83,2326.7,118.75,7.51
416584,08/29/2001,-166.0,18.0,55.999,9.5684,0.63,3.7,1982.7,13.9,7.91
416585,10/27/2007,-174.87,99.0,58.0,3.3172,2.357,31.0,2183.6,60.438,7.54
416586,11/21/2015,129.98,1803.0,24.663,2.1669,2.72,38.67,2350.7,142.42,7.51
416587,04/29/2018,54.4837,3034.0,-27.3337,1.7644,2.34,33.3,2295.606,125.4,7.61
416588,07/30/2006,4.0,987.0,75.0,-0.7047,0.896,13.322,2162.4,7.96,7.71
416589,08/15/1993,179.00999,37.0,2.2468,29.892,0.1515,0.03,1888.0,3.042,8.14
416590,02/16/2002,4.501,254.07001,60.0,7.5542,0.88938,12.037,2158.8,5.8088,7.76
416591,08/17/1995,61.683,32.0,20.618,26.203,0.82,6.2317,2078.6,5.32,7.97
416592,04/15/1996,0.0017,299.22,-60.508,0.5109,2.3541,34.771,2270.0,118.88,7.57
416593,12/29/1992,-125.62,255.67999,-52.042,7.3003,1.27,16.99,2117.3,5.586,7.79
416594,01/26/2021,5.24,203.0,60.19,8.84,0.69,10.28,2149.6,4.42,7.79
416595,02/21/1998,-76.422,742.0,26.505,11.336,1.21,19.62,2165.5,9.2,7.77
416596,02/28/1984,-11.22,200.0,43.0,11.81,0.51,10.07,2114.6,3.31,7.89
